,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,variable,upper,upper,lower,lower,variable,variable,variable,upper,upper,upper,lower,lower,lower
,load,T_upper,T_lower,T_in,Time,_P_external,in_provision,rel_start,rel_end,cp,C,s_T,r_mDot,profile_deviation_weight,T,mDot,r_del_u_mDot,T,T,T,mDot,mDot,mDot,t_sim,T_slack,t_sim,T_slack,t_sim,T_slack,T_out,P_el,_mDot_full,T_out,P_el,_mDot_full,T_out,P_el,_mDot_full
"(0, 26290.192378864667)",,,,,,,,,,,,,,,,,,294.1488362329131,303.15,288.15,,,,0.0,8.979321030741254e-05,inf,inf,-inf,-inf,294.1488362329131,0.14999999999983982,0.010715176426083824,inf,inf,inf,-inf,-inf,-inf
"(0, 26809.807621135333)",,,,,,,,,,,,,,,,,,294.1488362329141,303.15,288.15,,,,0.0,8.979321030804072e-05,inf,inf,-inf,-inf,294.1488362329141,0.14999999999985109,0.010715176426083824,inf,inf,inf,-inf,-inf,-inf
"(0, 27000.0)",150.0,294.15,292.15,280.15,27000.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362329141,303.15,288.15,0.01071517642613808,0.05,0.0,,,,,,,,,,,,,,,
"(0, 27190.192378864667)",,,,,,,,,,,,,,,,,,294.148836232913,303.15,288.15,,,,0.0,8.979321030738776e-05,inf,inf,-inf,-inf,294.148836232913,0.15000000000059893,0.01071517642613808,inf,inf,inf,-inf,-inf,-inf
"(0, 27709.807621135333)",,,,,,,,,,,,,,,,,,294.1488362329102,303.15,288.15,,,,0.0,8.9793210305704e-05,inf,inf,-inf,-inf,294.1488362329102,0.1500000000005687,0.01071517642613808,inf,inf,inf,-inf,-inf,-inf
"(0, 27900.0)",150.0,294.15,292.15,280.15,27900.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362329088,303.15,288.15,0.010715176425934128,0.05,0.0,,,,,,,,,,,,,,,
"(0, 28090.192378864667)",,,,,,,,,,,,,,,,,,294.1488362329132,303.15,288.15,,,,0.0,8.979321030750246e-05,inf,inf,-inf,-inf,294.1488362329132,0.14999999999774588,0.010715176425934128,inf,inf,inf,-inf,-inf,-inf
"(0, 28609.807621135333)",,,,,,,,,,,,,,,,,,294.14883623292485,303.15,288.15,,,,0.0,8.97932103144585e-05,inf,inf,-inf,-inf,294.14883623292485,0.1499999999978707,0.010715176425934128,inf,inf,inf,-inf,-inf,-inf
"(0, 28800.0)",150.0,294.15,292.15,280.15,28800.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14883623292866,303.15,288.15,0.010715176426699018,0.05,0.0,,,,,,,,,,,,,,,
"(0, 28990.192378864667)",,,,,,,,,,,,,,,,,,294.14883623291246,303.15,288.15,,,,0.0,8.9793210307051e-05,inf,inf,-inf,-inf,294.14883623291246,0.15000000000844543,0.010715176426699018,inf,inf,inf,-inf,-inf,-inf
"(0, 29509.807621135333)",,,,,,,,,,,,,,,,,,294.14883623287,303.15,288.15,,,,0.0,8.979321028171663e-05,inf,inf,-inf,-inf,294.14883623287,0.15000000000799038,0.010715176426699018,inf,inf,inf,-inf,-inf,-inf
"(0, 29700.0)",150.0,294.15,292.15,280.15,29700.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362328547,303.15,288.15,0.010715176423842416,0.05,0.0,,,,,,,,,,,,,,,
"(0, 29890.192378864667)",,,,,,,,,,,,,,,,,,294.1488362329153,303.15,288.15,,,,0.0,8.979321030876694e-05,inf,inf,-inf,-inf,294.1488362329153,0.14999999996848662,0.010715176423842416,inf,inf,inf,-inf,-inf,-inf
"(0, 30409.807621135333)",,,,,,,,,,,,,,,,,,294.14883623307486,303.15,288.15,,,,0.0,8.97932104041046e-05,inf,inf,-inf,-inf,294.14883623307486,0.14999999997019622,0.010715176423842416,inf,inf,inf,-inf,-inf,-inf
"(0, 30600.0)",150.0,294.15,292.15,280.15,30600.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362331306,303.15,288.15,0.01071517643450862,0.05,0.0,,,,,,,,,,,,,,,
"(0, 30790.192378864667)",,,,,,,,,,,,,,,,,,294.14883623290467,303.15,288.15,,,,0.0,8.979321030230534e-05,inf,inf,-inf,-inf,294.14883623290467,0.15000000011768733,0.01071517643450862,inf,inf,inf,-inf,-inf,-inf
"(0, 31309.807621135333)",,,,,,,,,,,,,,,,,,294.1488362323099,303.15,288.15,,,,0.0,8.979320994672221e-05,inf,inf,-inf,-inf,294.1488362323099,0.15000000011131473,0.01071517643450862,inf,inf,inf,-inf,-inf,-inf
"(0, 31500.0)",150.0,294.15,292.15,280.15,31500.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14883623210017,303.15,288.15,0.010715176394675879,0.05,0.0,,,,,,,,,,,,,,,
"(0, 31690.192378864667)",,,,,,,,,,,,,,,,,,294.1488362329444,303.15,288.15,,,,0.0,8.979321032648736e-05,inf,inf,-inf,-inf,294.1488362329444,0.14999999956050006,0.010715176394675879,inf,inf,inf,-inf,-inf,-inf
